russian_param_1,english_param_1
Той-терьер,Toy Terrier
Грызуны,Rodents
Принтеры,Printers
Автобусы,Buses
DEXP,DEXP
ВМХ,BMX
MTS,MTS
Lenovo,Lenovo
Строительство,Building
Huawei,Huawei
Канадский сфинкс,Canadian Sphynx
Климатическое оборудование,Climatic equipment
Такса,Dachshund
Русская голубая,Russian Blue
"Этикетки, бутылки, пробки","Labels, bottles, corks"
Расходные материалы,Consumables
Лайка,Laika
Телефония,Telephony
Фото- и видеосъёмка,Photo and video
Fly,Fly
Sony,Sony
Веб-камеры,Webcams
Highscreen,Highscreen
Банкноты,Banknotes
Питбуль,Pitbull
Установка техники,Installation of equipment
Компактные фотоаппараты,Compact Cameras
Компьютерные игры,Computer games
Персидская,Persian
"Аккордеоны, гармони, баяны","Accordions, accordions, bayans"
Канцелярия,Chancery
Надувные лодки,Inflatable boat
Донской сфинкс,The Don Sphinx
Чихуахуа,Chihuahua
MP3-плееры,MP3 Players
Спаниель,Spaniel
Военные вещи,Military things
"ИБП, сетевые фильтры","UPS, mains filters"
Киндер-сюрприз,Kinder Surprise
Пианино и другие клавишные,Pianos and other keyboards
Microsoft,Microsoft
"Теннис, бадминтон, пинг-понг","Tennis, badminton, ping-pong"
Далматин,Dalmatian
HTC,HTC
Бытовые услуги,Domestic services
Бинокли и телескопы,Binoculars and telescopes
Philips,Philips
Мейн-кун,Maine Coon
Среднеазиатская овчарка,Central asian shepherd dog
Усилители и ресиверы,Amplifiers and receivers
Стаффордширский терьер,Staffordshire Terrier
Игры,Games
Мопс,Pug
Ягдтерьер,Yagdterrier
Акита,Akita
Вёсельные лодки,Rowing boats
Средства для похудения,Means for losing weight
Экзотическая,Exotic
"Карты, купоны","Cards, Coupons"
Шпиц,Spitz
Программы,Programs
Сиамская,Siamese
Пекинес,Pekingese
"Охрана, безопасность",Security and safety
Той-пудель,Toy Poodle
Лёгкий транспорт,Light transport
Погрузчики,Loaders
Строительная техника,Construction machinery
Духовые,Wind
Восточноевропейская овчарка,East European Shepherd
Сибирский хаски,Siberian Husky
Prestigio,Prestigio
Лабрадор,Labrador
Открытки,Postcards
Коммунальная техника,Communal equipment
Общественное питание,Catering
Скрипки и другие смычковые,Violins and other bowed
teXet,teXet
Пудель,Poodle
Развлечения,Entertainment
BlackBerry,BlackBerry
Бильярд и боулинг,Billiards and bowling
Рептилии,Reptiles
Тайская,Thai
Амфибии,Amphibians
Бульдозеры,Bulldozers
Шарпей,Sharpay
Переносные жёсткие диски,Portable Hard Drives
Motorola,Motorola
Микрофоны,Microphones
Автокраны,Truck Cranes
Уничтожители бумаг,Paper shredders
Спортивные карточки,Sports cards
Для офиса,For office
ТВ-тюнеры,TV tuners
Курьерские поручения,Courier orders
Бишон фризе,Bichon Frize
Кабели и адаптеры,Cables and adapters
Селкирк-рекс,Selkirk Rex
Интернет-магазин,Online store
Электронные книги,E-books
Китайская хохлатая,Chinese Crested
Московская сторожевая,The Moscow watchdog
Гидроциклы,Hydrocycles
Корниш-рекс,Cornish Rex
Эрдельтерьер,Airedale
Ши-тцу,Shih Tzu
"Вещи знаменитостей, автографы","Celebrity things, autographs"
Бассет,Basset
Концерты,Concerts
Кане Корсо,Cane Corso
Боксер,Boxer
Техника для лесозаготовки,Logging equipment
Ретривер,Retrievers
Цвергшнауцер,Miniature Schnauzer
Кавказская овчарка,Caucasian Shepherd Dog
Болонки,Bologna
Ориентальная,Oriental
Вездеходы,ATVs
Сенбернар,St. Bernard
Фокстерьер,Fox terrier
Макеты оружия,Weapon models
Кокер спаниель,Cocker Spaniel
Хорьки,Ferrets
Пластиковые карточки,Plastic cards
"Цирк, кино","Circus, cinema"
Аляскинский маламут,Alaskan Malamute
Джек Рассел терьер,Jack Russell Terrier
Конверты и почтовые карточки,Envelopes and post cards
Мастиф,Mastiff
Производство,Production
"Пепельницы, зажигалки","Ashtrays, lighters"
Доберман,Dobermann
Чау-чау,Chow Chow
Билеты,Tickets
Ньюфаундленд,Newfoundland
Овчарка,Sheepdog
Курцхаар,Kurzhaar
Петерболд,Peterbald
Европейская,European
Календари,Calendars
Цвергпинчер,Miniature Pinscher
Абиссинская,Abyssinian
Пейнтбол и страйкбол,Paintball and airsoft
Ротвейлер,Rottweiler
Брюссельский гриффон,Brussels Griffon
Ризеншнауцер,Giant Schnauzer
"Фотографии, письма","Photos, letters"
Колли,Collie
Сельское хозяйство,Agriculture
Бультерьер,Bull Terrier
Acer,Acer
Дог,Great Dane
Бивер,Beaver
Шелти,Sheltie
Сеттер,Setter
Автодома,Motorhomes
Японский хин,Japanese Hin
Невская маскарадная,Neva Masquerade
Siemens,Siemens
Картинг,Karting
Миттельшнауцер,Mittelschnauzer
Vertu,Vertu
Багги,Buggy
"Театр, опера, балет","Theater, opera, ballet"
Русская борзая,Russian Greyhound
Бернский зенненхунд,Bernese Mountain Dog
Сомалийская,Somali
Бигль,Beagle
Курильский бобтейл,Kurilian Bobtail
Скотч-терьер,Scotch Terrier
Родезийский риджбек,Rhodesian Ridgeback
Бурманская,The Burmese
Японский бобтейл,Japanese Bobtail
Пойнтер,Pointer
SkyLink,SkyLink
Меконгский бобтейл,Mekong bobtail
Бобтейл,Bobtail
Пти брабансон,Petit Brabanson
Турецкая ангора,Turkish angora
Самоедская лайка,Samoyed Laika
Леонбергер,Leonberger
Вельштерьер,Welsh terrier
Бурбуль,Boerboel
Левретка,Leverette
Девон-рекс,Devon Rex
Норвич терьер,Norwich Terrier
Норвежская лесная,Norwegian Forest
Английский бульдог,English bulldog
Папийон,Papillon
Ирландский терьер,Irish Terrier
Panasonic,Panasonic
Бельгийская овчарка,Belgian Shepherd Dog
Балинез,Balinese
Вест хайленд вайт терьер,West Highland White Terrier
"Шоу, мюзикл","Show, Musical"
Швейцарская овчарка,Swiss Shepherd
Манчкин,Munchkin
Басенджи,Basenji
Бульмастиф,Bullmastiff
Каяки и каноэ,Kayaks and canoes
Американский бульдог,American Bulldog
Бельгийский гриффон,Belgian Griffon
Ла-перм лаперм,La Perle Laperme
Американский кёрл,American curl
Лхаса Апсо,Lhasa Apso
Керн терьер,Kern Terrier
Уральский рекс,The Urals Rex
Французская овчарка,French Shepherd Dog
Бриар,Briard
