item_id,russian_description,english_description
00fedb2ae612,Продам  отличный телефон с диагональю 5.3 дюйма обновленным андройдом 5.0.2. камера 8мп и 3.2 мп имеется фронтальная вспышка. телефон хороший царапины только на задней крышки и то незначительные. телефон имеет полный комплект и стоит на гарантии телефону меньше года. хороший звук и экран не искажается. батарею сутки держит спокойно при активном пользовании. причина продажи та что подарили другой телефон и теперь этот лежит без дела. торг минимальный и реальному покупателю.,Selling an excellent phone with a diagonal. in an updated android ... camera mp and. there is a front flash. the phone is a good scratch only on the back cover and then insignificant. the phone has a full set and costs a phone warranty for less than a year. good sound and the screen is not distorted. The battery keeps the battery quiet for a day with active use. the reason for the sale is that it was given by another phone and now this one is lying idle. bargaining is minimal and the real buyer.
0106679cf24c,"Продам мужские ботинки, лакированная натуральная кожа, размер 39. Одевались 1 раз на свадьбу.","Selling men's shoes, patent leather, size. Dressed once for the wedding."
01071a9cdc8e,"Продам вечернее короткое платье. Застёгивается на молнию, лямки регулируются по размеру. Платье в отличном состоянии.","I'm selling an evening dress. It is fastened with a zipper, the straps are adjustable in size. The dress is in excellent condition."
01129dddbda0,Б\У,BOO
01134b9bf7df,"Красивое нарядное платье на выход, сидит по фигуре, сзади завязывается шикарный шёлковый бант, требует химчистки, цена соответствующая, покупала за 6 т.р., одевала на выход 2 раза.","A beautiful elegant dress on the way out, sits on a figure, a silky silk bow is fastened behind, a dry-cleaning service is required, the price is appropriate, bought for a trunk, dressed for the exit time."
0119d01aeb0a,"Арматура, профильная труба, угол, круглая труба, балка, сетка, швеллер, профнастил и др. В наличии и под заказ. Резка, доставка.","Reinforcement, profile pipe, angle, round tube, beam, mesh, channel, corrugated board, etc. In stock and on order. Cutting, delivery."
013a78026a61,Стоит пылиться флакон..,It is necessary to dust the bottle ..
0143eb60523c,В хорошем состоянии.,In a good condition.
014d34d30a68,ботиночки весна-осень 23р.,shoes spring-autumn r.
0163a754613a,"Продам кружку олово примерно 70г выпуска /
Есть клеймо.","Selling a mug of tin about g output /
There is a stigma."
016c39c4f9b6,"Продам мышь apple  в отличном состояние ! С упаковкой и инструкцией . /
/
проводная мышь/
интерфейс USB/
сенсорная прокрутка/
для настольного компьютера/
светодиодная, 5 клавиш (2 программируемые)","Selling apple mouse in excellent condition! With packing and instructions. /
/
wired mouse /
interface /
touch scrolling /
for desktop /
LED, keys (programmable)"
017e33431e79,Состояние нового автомобиля. Пробег всего лишь 8000 км. Не крученный. Машина в одних руках,Condition of the new car. The mileage is only km. Not twisted. The machine is in one hand
0199e8646d1c,"Продаётся белое кресло, хорошее состояние","White armchair for sale, good condition"
019c36e4ceea,"Причина продажи,т.к не понравились цвета,заказывали через интернет,один светло-розовый,а два тёмно красные!","The reason for the sale, because I did not like the colors, ordered through the Internet, one light pink, and two dark red!"
01a0525a8165,"Диагональ на 24/
Состояние как у нового. /
Имеется документы, коробка, пульт.","Diagonal on /
Condition as new. /
There are documents, a box, a console."
01bf9540881f,Штаны Для Беременных,Pants For Pregnant Women
01c5ccea2be6,Авто в хорошем состоянии вложений не требует рассмотрю обмен стоит газовое оборудования ТОРГ возле авто!!!,Auto in good investment condition does not require consider the exchange is gas equipment TORG near the car!
01f9800fd17c,"Семена производителей,цены по московскому прайсу!!!!/
Гавриш/
СеДек/
Аэлита/
НК/
Поиск/
СибСад/
Плазменные семена/
Сембат/
Интерсемя/
Агрос/
Артикул/
Евро-Семена","Seeds of producers, prices on the Moscow price !!!! /
Gavrish /
Sedek /
Aelita /
NC /
Search/
SibSad /
Plasma seeds /
Sembat /
Intersemia /
Agros /
Vendor code/
Euro-Seeds"
02026c1f98b1,"Выполним все виды малярных, плиточных, сантехнических и электромонтажных работ./
Гарантия качества и выполнения работы в срок.","We will carry out all kinds of painting, tiling, sanitary and electrical works. /
Quality assurance and performance of work on time."
0202df64a422,"ноутбук c экраном 15.4""/
 /
вес 3 кг/
 /
процессор Intel Core 2 Duo T8600 2400 МГц/
 /
память 2 Гб DDR2, графика Geforce 9300 GS/
 /
накопитель (HDD) 320 Гб/
 /
оптический привод DVD-RW/
 /
Bluetooth, Wi-Fi/
 /
Win 7/
 /
➜Мы даем гарантию на проверку любого купленного у нас товара/
➜Гарантия 90 дней*/
➜Бесплатная активация и настройка, помощь в установке программ*/
 /
*- по сертификату гарантии/
____________________________________________/
 /
О нашем магазине:/
 /
•большой выбор новой техники дешевле, чем в сетевых магазина на 15-50%/
 /
• огромный выбор уцененной техники - витринные образцы или не полный комплект с уценкой до 80%/
• техника по программе Trade-in: техника прошедшая полную проверку и с гарантией рабостоспособности/
------------------------/
/
Ждем Вас по адресу: г. Екатеринбург, ул. Героев России 2, ТЦ Свердловск, 1 этаж, ""Дисконтика"" ( идти по указателям ""Ломбард Техники"" ) /
Внимание: количество товаров ограничено, уточняйте наличие конкретной модели по телефону.","laptop with a screen. ""/
 /
Weight, kg/
 /
processor ntel ore uo MHz /
 /
memory GB, graphics eorce /
 /
drive () GB /
 /
optical drive V-W /
 /
luetooth, Wi-i /
 /
Win /
 /
➜We give a guarantee for the verification of any goods purchased from us /
➜Terms of Warranty * /
➜Free activation and configuration, help in installing programs * /
 /
* - under the guarantee certificate /
____________________________________________ /
 /
About our shop /
 /
• a large selection of new equipment is cheaper than in online stores at -% /
 /
• a huge choice of discounted technology - display cases or not a complete set with a markdown to% /
• technics under the program rade-in the technique passed full check and with a guarantee of efficiency /
------------------------ /
/
We are waiting for you at the address: Ekaterinburg, ul. Heroes of Russia, TC Sverdlovsk, floor, ""Discount"" (follow the signs ""Lombard Techniki"") /
Attention, the quantity of goods is limited, specify the availability of a specific model by phone."
02125873a107,"продам праздничные платья на девочку 5 лет, хорошо подойдут на утренник в садик. каждое по 600 р","selling festive dresses for a girl of years, well suited to matinee in the garden. each with respect to p"
021874608e12,продаю боксерские перчатки,selling boxing gloves
021b6c404db4,новый,new
0234e42d782e,"Педикюрное кресло Профи/
 /
Электрическая регулировка высоты кресла./
 /
Раздельная механическая регулировка углов наклона спинки (75⁰) и кресла (25⁰ относительно пола) дает возможность мастеру выбрать идеально удобное положение при работе./
 /
Опоры для ног - раздельные, регулируются по высоте и длине в зависимости от роста клиента. Кресло может раскладываться полностью в горизонтальное положение для косметологических процедур./
 /
Для удобства клиента подголовник регулируется./
 /
Мягкие комфортные подлокотники поднимаются, что позволяет клиенту свободно сесть в кресло и встать после окончания процедуры./
 /
Для удобства мастера и клиента кресло может вращаться на 360⁰./
 /
Анатомические мягкие элементы кресла и усовершенствованная эргономика создадут максимальный комфорт клиенту во время длительной процедуры. Кресло отвечает всем современным европейским требованиям к внешнему виду: основание, электрический двигатель и все механические элементы конструкции скрыты пластиковым кожухом, который придает креслу аккуратный внешний вид, современный дизайн и облегчает уборку./
 /
Базовые цвета: белый, коричневый. Другие цвета на заказ./
 /
Размер (ДхШхВ): 1700-1980х820х650-950 мм./
 /
есть кредит!","Pedicure chair Profi /
 /
Electric seat height adjustment. /
 /
The separate mechanical adjustment of the backrest angles (⁰) and the chair (⁰ with respect to the floor) allows the master to select an ideal working position.
 /
Feet supports - separate, adjustable in height and length, depending on the growth of the client. The chair can be folded completely in a horizontal position for cosmetic procedures.
 /
For the convenience of the customer, the headrest is adjustable.
 /
Soft comfortable armrests are lifted, which allows the client to freely sit in a chair and get up after the end of the procedure.
 /
For the convenience of the master and the client, the chair can rotate by ⁰. /
 /
Anatomical soft chair elements and improved ergonomics will create maximum comfort to the customer during a lengthy procedure. The chair meets all modern European requirements for the appearance of the base, the electric motor and all the mechanical elements of the construction are hidden by a plastic casing that gives the chair a neat appearance, modern design and facilitates cleaning.
 /
Base colors are white, brown. Other colors available on request.
 /
Size (LxWxH) -xx-mm. /
 /
there is a loan!"
023bb6b7a4a4,Легкий летний сарафан.,Light summer dress.
025d8303eb20,"В связи с закрытием  шоурума брендовой одежды в Москве есть возможность приобрести свитшоты и футболки (размеры s/l/m) отличного качества по хорошей цене брендов Looney Tunes (M44,L48), Tom and Jery S (44), M (46), Didney (S,M), /
/
 Состав: 100% хлопок/
/
Розовая Didney: размер: S,M, Состав: 40%- полиэстер, 60%-хлопок.","In connection with the closure of the showroom of brand clothes in Moscow, it is possible to purchase sweatshirts and T-shirts (sizes s / l / m) of excellent quality at a good price of brands ooney unes (,), om and ery (), (), idney (,), /
/
 Composition% cotton /
/
Pink idney size, Composition% - polyester,% cotton."
026544e54176,всё по телефону . торг,all on the phone. bargain
0270499113b8,Продам монету 1813,Selling a coin
02a39d062563,"Фото 1: Царапки и пинетки для новорождённых. Цена 50р за всё./
Фото 2: Носочки тонкие 0-6 мес. Цена 50р за все /
Фото 3: Носочки тёплые 0-6 мес. Цена 30р за шт, синие самокатки за 40р","Stock Foto Scratching and booties for newborns. Price p for everything. /
Stock Foto Thin socks thin - months. Price p for all /
Stock Foto Warm socks - months. Price p per piece, blue scooter for p"
02bfc637bcfe,Состояние хорошее,Condition good
02c798bb5ade,"Продам костюм на девочку на рост 100-110,вместе с ним отдам пакет вещей,на фото не всё","Selling a suit for a girl to grow - with him I'll give you a package of things, not everything in the photo"
0306aa6fee75,"Новое!!!! /
Пальто прямого кроя./
Цвет: черный. /
Размер: М.","New!!!! /
Coat of direct cut. /
Black color. /
Size M."
030cb6ef1825,None,None
033894db75fa,"Чехлы на любой бюджет вкус и цвет/
Силиконовые, пластиковые, кожа, книжки вниз-вбок и т.д./
Приезжайте, будем рады!/
----------/
МЫ НАХОДИМСЯ В Новосибирске/
⌚️Пн - Вс 11:00 - 21:00 без выходных./
Адрес: Красный проспект 2/1, Тц ""Мегас"" у автовокзала, первый этаж, дальний отдел подсвечен снизу, напротив 1-2 кассы /
Доставка: Город, Почта РФ, ТК./
Сервис по ремонту iPhone и телефонов","Covers for any budget taste and color /
Silicone, plastic, leather, books down-sideways, etc. /
Come, we will be happy! /
---------- /
WE ARE IN Novosibirsk /
⌚️ Fri - Sun - without holidays. /
Address Krasny Prospekt /, Tts ""Megas"" at the bus station, ground floor, the long section is highlighted from below, on the contrary - cash desks /
Delivery City, Post Office, TC. /
Repair service for ihone and phones"
0366d7b47122,"Продам микроавтобус Ивеко Дейли,2011г,пробег 305 тыс, 19 мест, межгород, багажник, тахограф, глонасс, ремни.","I will sell a minivan Iveco Daily, g, mileage, places, intercity, trunk, tachograph, glonass, belts."
0368674b23ef,"3 в 1/
Пиленальный столик,комод,ванночка.итальянский./
Отличное качество и состояние.комод на колесиках. Есть в таком же стиле детская кроватка.Продается как в комплекте,так и по отдельности./
Кроватка 5000/
Комод 7000/
Посмотреть можно на ул.Промышленной","at /
A burning table, a chest of drawers, a bath. Italian.
Excellent quality and condition. Chest of drawers. There is in the same style a baby cot. It is available both in the kit and separately. /
Cot /
Chest /
You can see at ul.Industrial"
0383f0db68ce,"Продам 1 комнатную квартиру по ул. Восточно-Кругликовская. На 16 этаже, 17-ти этажного монолитно-кирпичного жилого комплекса ""Панорама"". Общая площадь 40.42кв.м., жилая 15.60кв.м., кухня 12.72кв.м. Балкон застеклен МПО из кухни, металлопластикове окна, новая сантехника, санузел совместный в кафеле, полы-ламинат, входная дверь металлическая. Из мебели остается 2 дивана, 2 шкафа, стиральная машина, холодильник, встроенная кухня, электрическая плита, сплит -система. Год постройки 2015.","Selling an apartment on the street. East Kruglikovskaya. On the floor, a storeyed monolithic-brick residential complex ""Panorama"". The total area of ​​the living room, living room., Kitchen. The balcony is glazed with MPO from the kitchen, plastic windows, new plumbing, shared bathroom in the tile, laminate flooring, the front door is made of metal. From the furniture there is a sofa, a wardrobe, a washing machine, a refrigerator, a built-in kitchen, an electric stove, a split system. Year of construction."
03950f03b7e5,"Машина на полном ходу,после небольшого дтп ,ланжероны не пострадали,под замену Блок фары-стекло,крышка,задний фонарь, все работает горит и мигает,остальные вопросы по телефону.мотор и коробка в отличном состоянии.","The car is running at full speed, after a minor accident, the Langerons have not suffered, under the replacement. The headlamp-glass block, the lid, the tail lamp, everything is on and blinking, the rest of the questions are on the phone. The engine and the box are in excellent condition."
039e0209addc,"Продаю, в очень хорошем состоянии, велосипед для девочки. Практически не эксплуатировался!!","I sell, in very good condition, a bicycle for a girl. Practically not exploited !!"
03a92cf5f849,"Телефон в отличном состоянии, всё в комплекте имеется (наушники, зарядное устройство, коробка, документы, чек), 16 ГБ памяти, камера 13 Мп (основная) + 5 Мп (фронтальная). Защитное стекло и чехол прилагаются.","Phone in excellent condition, everything is bundled (headphones, charger, box, documents, check), GB of memory, camera Mp (main) + Mp (front). Protective glass and cover are included."
03b496006e6c,"Лёгкие красивые джинсы с заниженной талией, покупала в ките р 44","Light beautiful jeans with a low waist, bought in the whale p"
03b7d5665c97,"Юбка Nike, размер 42-44, новая.","Skirt ike, size -, new."
03c4c6f0f469,"Saeco Talea Giro/
цена 18 500/
/
 кофеварка эспрессо/
 автоматическая/
 для зернового кофе/
 кофемолка с регулировкой степени помола/
 контроль крепости кофе/
 регулировка порции воды/
 самоочистка от накипи/
 приготовление капучино/
 отключение при неиспользовании/
 одновременная раздача на 2 чашки/
 корпус из пластика","aeco alea iro /
price /
/
 espresso machine /
 automatic /
 for grain coffee /
 grinder with adjustable grinding degree /
 control of coffee /
 adjustment of the portion of water /
 self-cleaning from scale /
 Cappuccino /
 disconnection when not in use /
 simultaneous dispensing into cups /
 plastic case"
03c5cce7c62d,"Новое платье, не подошло по размеру, не надето ни разу.","A new dress, did not fit the size, is not worn even once."
03d09bc96666,На спине пятнышко,On the back is a speck
03e89026e4cc,"С разбора, на проверку 2 недели/
Полностью исправна","From parsing, to checking the week /
Completely serviceable"
040b02d6c0b5,"Продаю новую палетку теней от американского бренда Сolourpop😊 шикарные оттенки. С официального сайта. В России не представлена. Косметика бюджетная, но ооочень достойная!  Самый светлый оттенок сатиновый. Остальные матовые. Стойкость и пигментация на высоте. Палетка магнитная, рефилы можно менять.","I sell a new palette of shadows from the American brand Colourpop chic shades. From the official site. In Russia it is not represented. Cosmetics are budgetary, but sooo worthy! The lightest shade is satin. The rest are matte. Persistence and pigmentation at height. The pallet is magnetic, the refills can be changed."
041da9f0372f,"Не помню как называется плетение, выгл как жгут.  Оказалась коротковата 45 см. Новая. Стасова-Ставропольская","I do not remember the name of the weaving, it looks like a tourniquet. It turned out short, see New. Stasov-Stavropol"
0420705519da,Украшение свадебных аксессуаров,Decoration of wedding accessories
0447a60dd713,"Пожалуй лучший вариант в нашем регионе. Крупный и динамично развивающийся район. Новый комплекс домов./
 /
В квартире выполнена качественная предчистовая отделка. Новый чистый подъезд. На территории детские и спортивные площадки, стоянки./
 /
Цена за 2 к.кв в черте города просто смешная!/
 /
Щедрая акция! Не упустите шанс купить! Продажа без риэлторских процентов!","Perhaps the best option in our region. A large and dynamically developing region. A new complex of houses. /
 /
The apartment is finished with quality pre-finishing. New clean entrance. On the territory of children's and sports grounds, parking. /
 /
The price for kk in the city is simply ridiculous! /
 /
Generous promotion! Do not miss the chance to buy! Sale without real estate interest!"
044f4062393b,"Продам ноутбук Asus x551m, пользовались только дома,дефектов царапин нету, не тормозит не греется, двухъядерный по 2.16 ггц, стоит Windows 10, диагональ 15.6, USB 2шт. , Wi-Fi, камера 1.3, озу 2гб, жесткий диск 320гб, батарейку держит примерно 3 часа","Selling a laptop sus xm, used only at home, there are no scratches, no brakes, no heating, dual-core. GHz, there is Windows, diagonal., pcs. , Wi-i, camera., RAM oz, hard drive GB, battery holds about an hour"
0454fb66dfd8,"Продам смартфон lenovo vibe c a2020a40, имеются незначительные соскобы на защитной матовой пленке экрана и на чехле, думаю это не проблема, сам телефон в отличном состоянии, телефону нет года, продам вместе с чехлом и картой памяти на 8 ГБ.","Selling a smartphone lenovo vibe c aa, there are minor scrapes on the protective matte screen film and on the case, I think this is not a problem, the phone itself is in excellent condition, there is no phone for a year, I will sell it together with a case and a memory card in GB."
045e1f2bbc1e,"Фирма Остин , в идеальном состоянии","The firm Austin, in perfect condition"
046de2d2f3f3,"Набор для мальчика№3 Дисней/
26 предметов - доставка по городу В ПОДАРОК!/
/
Набор детских полотенец ""Collorista"" Любимый сынок 30х30 см-3шт, 100% хлопок, страна Китай ,состав хлопок100%, махра- 1шт./
Фотоальбом на 36 фото с наклейками ""Наш любимый сыночек"", страна Китай, количество фотографий 36, размер фото 10 х 15- 1шт./
Погремушка ""Бутылочка"", страна Китай ,состав пластик- 1шт./
Пеленка-кокон, размер 62 см (40) см, цвет голубой, страна Россия ,состав хлопок 100%, футер- 1шт./
Полукомбинезон с открытыми ножками на кнопках футер, рост 56-62 см, страна Россия, состав хлопок 100%, футер- 1шт./
Распашонка с длинными рукавами, рост 56 см, цвет: голубой, страна: Россия, состав: 100% хлопок, кулирная гладь- 1шт./
Распашонка с короткими рукавами, , рост 56 см, цвет: голубой, рост 56 см, страна: Россия, состав: 100% хлопок, кулирная гладь- 1шт./
Ползунки, рост 56 см, страна Россия , состав хлопок 100%, кулирная гладь - 2 шт./
Чепчик махровый, размер 36, страна Россия, состав хлопок 100%, махра- 2 шт./
Чепчик, размер 36, страна Россия ,состав хлопок 100%, ажурный ластик- 2 шт./
Носочки детские, размер 40, страна Россия ,состав хлопок 100%, интерлок-пенье- 2 шт./
Носочки махровые детские, размер 40- 2 шт./
Рукавички , страна Россия ,состав хлопок 100%, ажурный ластик- 2 шт./
Рукавички махровые, страна Россия ,состав хлопок 100%, махра- 2 шт./
Шампунь детский против младенческих себорейных корочек ""Мой малыш"",200 мл, страна :Россия - 1 шт./
Средство для купания «С головы до пяточек» Мой малыш, 200 мл, страна Россия- 1 шт./
Крем детский ""Мой малыш"" успокаивающий, 40мл, страна Россия- 1 шт./
Крем детский ""Мой малыш"" увлажняющий, 40мл, страна Россия- 1 шт./
Крем детский ""Мой малыш"" туба, 40мл , страна Россия- 1 шт.","Set for the boy № Disney /
 items - delivery in the city IN GIFT! /
/
Set of children's towels ""ollorista"" Favorite son x cm-pc,% cotton, country China, composition cotton%, makhrat /
Photo album on the photo with stickers ""Our beloved little son"", the country China, the number of photos, the size of the photo x - pcs /
Rattle ""Bottle"", the country of China, the composition of plastic-pcs /
Diaper-cocoon, size cm () cm, color blue, country Russia, composition cotton%, footer- pcs /
Semi-overalls with open legs on the buttons of footer, height - cm, country Russia, composition cotton%, footer- pcs /
Raspashanka with long sleeves, height cm, color blue, country Russia, composition% cotton, culinary smoothing-pcs /
Raspashenka with short sleeves,, height cm, color blue, height cm, country Russia, composition% cotton, culinary smoothing- pcs /
Sliders, height cm, country Russia, composition cotton%, culinary smoothness - pcs /
Chepy terry, size, country Russia, composition cotton%, makhrat /
Chepchik, size, country Russia, composition cotton%, openwork eraser- pcs /
Children's socks, size, country Russia, composition cotton%, interlock-penie- pcs /
Children's terry socks, size - pcs /
Mittens, country Russia, composition cotton%, openwork eraser- pcs /
Terry sleeves, country Russia, composition cotton%, makhrat /
Baby shampoo against infant seborrheic crusts ""My Baby"", ml, country Russia - pcs /
Means for bathing ""From head to heel"" My baby, ml, country Russia- piece /
Cream for children ""My baby"" calming, ml, country Russia- piece /
Cream for children ""My baby"" moisturizing, ml, country Russia- pcs /
Baby cream ""My baby"" tuba, ml, country Russia- piece."
04866bdf89d4,"Отличное состояние. /
Полный комплект, документы.","Very good condition. /
Full set of documents."
04bd3b039081,None,None
04d3d14f4463,По РФ и РБ. До 3 тонн.,For the Russian Federation and Belarus. To tons.
04d528ef81fa,"Продаю боди,носили немного,в идеальном состоянии,размер 67","I sell body, wore a little, in perfect condition, size"
04f1904778df,Продаю 2х комн квартиру с индивидуальным отоплением. Новый дом. Закрытая территория.,I sell x room apartment with individual heating. New house. Closed territory.
051aee1b983c,"продам кроватку с матрасом,синарка.","selling a crib with a mattress, sinarka."
05217097f09e,Продам 3х комнатную квартиру в центре.или обмен на дом с вашей доплатой.,Sell ​​x room apartment in the center. Or exchange for a house with your surcharge.
052dfc06b709,"Продам велосипед музыкальный (три песни,три сказки) в отличном состоянии.","Selling a musical bike (three songs, three tales) in excellent condition."
